sl_no,name,release_date,denomination,quantity,printer,stamp_images,fdc_images,brochure_pdf
44,50 Years Pandit Jasraj Pt. Motiram Pt. Maniram Sangeet Samaroha,27.12.2023,500p,207300,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\50 Years Pandit Jasraj Pt. Motiram Pt. Maniram Sangeet Samaroha_Stamp.jpg,https://postagestamps.gov.in/Uploads/2023\50 Years Pandit Jasraj Pt. Motiram Pt. Maniram Sangeet Samaroha_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\50 Years Pandit Jasraj Pt. Motiram Pt. Maniram Sangeet Samaroha_Brochure.pdf
46,Diamond Jubilee of Sashastra Seema Bal,29.12.2023,500p,307100,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Diamond Jubilee of Sashastra Seema Bal_Stamp.jpg,https://postagestamps.gov.in/Uploads/2023\Diamond Jubilee of Sashastra Seema Bal_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\Diamond Jubilee of Sashastra Seema Bal_brochure.pdf
47,200 Years of Indian Origin Tamils in Sri Lanka,30.12.2023,500p,301850,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\200 Years of Indian Origin Tamils in Sri Lanka_Stamp.jpg,https://postagestamps.gov.in/Uploads/2023\200 Years of Indian Origin Tamils in Sri Lanka_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\200 Years of Indian Origin Tamils in Sri Lanka_Brochure.pdf
1,Shri Ram Janmbhoomi Temple,18.01.2024,500 p(6),"10,00,000","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\Shri Ram Janmbhoomi Temple.jpg,https://postagestamps.gov.in/Uploads/2024\Shri Ram Janmbhoomi Temple_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2024\Shri Ram Janmbhoomi Temple_Brochure.pdf
2,100th Birth Anniversary of Karpoori Thakur,24.01.2024,500 p,"2,01,600","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\KARPOORI THAKUR STAMP.jpg,https://postagestamps.gov.in/Uploads/2024\KARPOORI THAKUR STAMP FDC.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure -KARPOORI THAKUR-3.pdf
3,Inclusive Elections - Election Commission of India,25.01.2024,500 p,"3,01,680","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\ECI.jpg,https://postagestamps.gov.in/Uploads/2024\FDC ECI.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure -Election Commission.pdf
4,Bharat – The Mother of Democracy,25.01.2024,500 p (3),"1,43,334","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\MS for video BTMOD.jpg,https://postagestamps.gov.in/Uploads/2024\FDC Mother of Democracy.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure -Mother of Democracy.pdf
5,The Bombay Sappers War Memorial,31.01.2024,500 p,"3,02,350","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\Bombay Sappers.jpg,https://postagestamps.gov.in/Uploads/2024\FDC Bombay Sappers.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure - Bombay Sappers War Memorial FINAL.pdf
6,150th Birth Anniversary of Srila Bhaktisiddhanta Saraswati Prabhupad,08.02.2024,500 p,"2,01,600","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\Bhaktisidhanta Saraswati stamp final2(1).jpg,https://postagestamps.gov.in/Uploads/2024\FDC Bhaktisiddhanta cancelled big.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure -Srila Bhaktisiddhanta Saraswati (2).pdf
7,125th Birth Anniversary Ram Chandra,14.02.2024,1000 p,"2,01,600","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\Ram Chander HD_page-0001 (1).jpg,https://postagestamps.gov.in/Uploads/2024\FDC Ram Chander HD_page-0001 (2).jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure -Ram chander (3).pdf
